Time	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday
00:00	1	1	1	2	2	1	2
01:00	1	1	1	1	1	1	1
02:00	1	1	1	1	1	1	1
03:00	1	1	1	1	1	1	0
04:00	1	0	1	1	1	0	1
05:00	1	0	1	1	1	1	1
06:00	1	2	2	2	2	2	2
07:00	2	3	2	2	2	2	1
08:00	3	2	2	3	3	2	5
09:00	4	5	4	5	6	7	4
10:00	3	4	3	4	4	4	5
11:00	5	6	5	6	7	4	6
12:00	3	6	4	4	5	4	3
13:00	4	5	4	6	9	4	6
14:00	6	6	5	6	9	6	9
15:00	5	6	5	4	5	5	5
16:00	5	6	5	6	5	6	5
17:00	3	6	4	4	5	4	5
18:00	4	4	3	3	4	3	3
19:00	2	3	2	2	3	2	3
20:00	2	2	2	2	4	3	1
21:00	2	2	1	2	2	2	2
22:00	1	2	2	2	1	1	2
23:00	1	2	2	2	2	1	1
