MIST	
Room	ID	Volume	Net Lettable	Circulation	Occupancy	Floor - Ground	Floor - Upper	Floor - Total	Floor - Void	Floor - Win	Floor - Door	Floor - Hole	Floor - WinCount	Floor - DoorCount	Floor - HoleCount	Roof - Gross	Roof - Net	Roof - Win	Roof - Door	Roof - Hole	Roof - WinCount	Roof - DoorCount	Roof - HoleCount	Ceiling	Ext. Wall - Gross	Ext. Wall - Net	Ext. Wall - Win	Ext. Wall - Door	Ext. Wall - Hole	Ext. Wall - WinCount	Ext. Wall - DoorCount	Ext. Wall - HoleCount	Ext. Wall - Adj	Partition - Gross	Partition - Net	Partition - Win	Partition - Door	Partition - Hole	 Partition - DoorCount	 Partition - WinCount	 Partition - HoleCount	
corridor #	CRRD0198	183.4520	 52.4150	 0.0000	 0	 0.0000	 52.4150	 52.4150	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 52.4150	 50.6780	 47.8830	 2.7950	 0.0000	 0.0000	 2	 0	 0	 50.6790	 50.6790	 50.6790	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
corridor #	CRRD0197	324.8480	 92.8140	 0.0000	 0	 0.0000	 92.8140	 92.8140	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 92.8140	 45.0210	 15.2010	 29.8200	 0.0000	 0.0000	 1	 0	 0	 95.5300	 95.5300	 95.5300	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0144	73.2360	 20.9240	 0.0000	 0	 0.0000	 20.9240	 20.9240	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 4.7340	 4.7340	 0.0000	 0.0000	 0.0000	 0	 0	 0	 16.1900	 33.1600	 33.1600	 0.0000	 0.0000	 0.0000	 0	 0	 0	 33.1600	 33.1600	 33.1600	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0143	47.8620	 13.6750	 0.0000	 0	 0.0000	 13.6750	 13.6750	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 13.6750	 17.0120	 2.8290	 14.1830	 0.0000	 0.0000	 1	 0	 0	 36.7060	 36.7060	 36.7060	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0142	560.5600	 160.1600	 0.0000	 0	 0.0000	 160.1600	 160.1600	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 160.1600	 114.6000	 56.3880	 58.2120	 0.0000	 0.0000	 4	 0	 0	 100.3430	 100.3430	 100.3430	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0141	128.6690	 36.7630	 0.0000	 0	 0.0000	 36.7630	 36.7630	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 36.7620	 27.3760	 27.3760	 0.0000	 0.0000	 0.0000	 0	 0	 0	 32.9010	 32.9010	 32.9010	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0140	128.6690	 36.7630	 0.0000	 0	 0.0000	 36.7630	 36.7630	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 36.7630	 27.3760	 27.3760	 0.0000	 0.0000	 0.0000	 0	 0	 0	 32.9010	 32.9010	 32.9010	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0139	17.4460	 4.9850	 0.0000	 0	 0.0000	 4.9850	 4.9850	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 4.9850	 9.1900	 9.1900	 0.0000	 0.0000	 0.0000	 0	 0	 0	 22.4780	 22.4780	 22.4780	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0138	38.2330	 10.9240	 0.0000	 0	 0.0000	 10.9240	 10.9240	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 10.9240	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 53.5680	 53.5680	 53.5680	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0137	20.7870	 5.9390	 0.0000	 0	 0.0000	 5.9390	 5.9390	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 5.9390	 10.9500	 10.9500	 0.0000	 0.0000	 0.0000	 0	 0	 0	 24.2380	 24.2380	 24.2380	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0136	112.8610	 32.2460	 0.0000	 0	 0.0000	 32.2460	 32.2460	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 32.2470	 20.1400	 20.1400	 0.0000	 0.0000	 0.0000	 0	 0	 0	 59.3660	 59.3660	 59.3660	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
