"Electric Consumption (kWh)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",269.594,455.955,741.082,1187.330,1924.792,2582.456,2919.718,2759.845,2538.568,1715.831,1081.300,551.082,18727.555
"Heat Reject.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Refrigeration",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Space Heat",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"HP Supp.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Hot Water",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Vent. Fans",360.603,348.473,387.070,384.864,360.603,387.070,396.994,360.603,373.836,372.734,360.603,399.200,4492.655
"Pumps & Aux.",0.150,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.350
"Ext. Usage",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Misc. Equip.",5.413,5.080,5.466,5.654,5.413,5.443,5.938,5.202,5.392,5.674,5.181,5.677,65.534
"Task Lights",85.246,80.198,85.363,90.087,85.246,85.311,95.026,80.471,85.199,90.134,80.424,90.139,1032.844
"Area Lights",239.390,215.613,246.134,245.700,250.053,258.620,256.492,248.894,243.752,243.722,246.238,247.372,2941.981
"Total",960.397,1105.419,1465.114,1913.634,2626.108,3318.901,3674.169,3455.016,3246.748,2428.095,1773.747,1293.570,27260.918

"Gas Consumption (kBtu)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",0,0,0,0,0,0,0,0,0,0,0,0,0
"Heat Reject.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Refrigeration",0,0,0,0,0,0,0,0,0,0,0,0,0
"Space Heat",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP Supp.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hot Water",0,0,0,0,0,0,0,0,0,0,0,0,0
"Vent. Fans",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumps & Aux.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ext. Usage",0,0,0,0,0,0,0,0,0,0,0,0,0
"Misc. Equip.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Task Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",0,0,0,0,0,0,0,0,0,0,0,0,0

"Electric Demand (kW)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",3.5191,6.0090,9.9747,9.4428,11.0446,11.4672,11.8131,11.6590,11.3540,10.5094,7.7955,5.1463,109.7347
"Heat Reject.",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Refrigeration",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Space Heat",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"HP Supp.",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Hot Water",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Vent. Fans",1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,13.2332
"Pumps & Aux.",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Ext. Usage",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Misc. Equip.",0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.2866
