"Electric Consumption (kWh)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",189.012,370.211,636.135,1058.966,1782.050,2425.578,2747.931,2606.444,2386.344,1570.039,968.074,444.402,17185.188
"Heat Reject.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Refrigeration",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Space Heat",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"HP Supp.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Hot Water",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Vent. Fans",332.492,321.308,356.895,354.861,332.492,356.895,366.046,332.492,344.694,343.677,332.492,368.080,4142.424
"Pumps & Aux.",0.150,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.350
"Ext. Usage",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Misc. Equip.",5.413,5.080,5.466,5.654,5.413,5.443,5.938,5.202,5.392,5.674,5.181,5.677,65.534
"Task Lights",85.246,80.198,85.363,90.087,85.246,85.311,95.026,80.471,85.199,90.134,80.424,90.139,1032.844
"Area Lights",239.390,215.613,246.134,245.700,250.053,258.620,256.492,248.894,243.752,243.722,246.238,247.372,2941.981
"Total",851.704,992.510,1329.993,1755.268,2455.254,3131.848,3471.434,3273.503,3065.380,2253.246,1632.409,1155.769,25368.318

"Gas Consumption (kBtu)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",0,0,0,0,0,0,0,0,0,0,0,0,0
"Heat Reject.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Refrigeration",0,0,0,0,0,0,0,0,0,0,0,0,0
"Space Heat",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP Supp.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hot Water",0,0,0,0,0,0,0,0,0,0,0,0,0
"Vent. Fans",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumps & Aux.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ext. Usage",0,0,0,0,0,0,0,0,0,0,0,0,0
"Misc. Equip.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Task Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",0,0,0,0,0,0,0,0,0,0,0,0,0

"Electric Demand (kW)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",2.69493,5.11577,8.96289,8.64813,10.24005,10.76881,11.08959,10.96646,10.64962,9.82912,6.99576,4.47160,100.43272
"Heat Reject.",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Refrigeration",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Space Heat",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
