Line    21:  Title
Line    25:  Run Period:  Entire Year
Line    35:  Holidays:  Observed Holidays
Line    46:  Compliance Data:  Compliance Data
Line    62:  Site Parameters:  Site Data
Line    67:  Building Parameters:  Building Data
Line    73:  Project Data
Line    81:  Material:  EL1 IWall Cons Mat 2 (0.91)
Line    85:  Material:  EL1 UFMat (G.N1.U2.M1)
Line    89:  Material:  EL1 UFMat (G.SW2.U3.M1)
Line    93:  Material:  EL1 UFMat (G.N3.U4.M1)
Line    97:  Material:  EL1 UFMat (G.SE4.U5.M1)
Line   102:  Layers:  EL1 EWall Cons Layers
Line   105:  Layers:  EL1 Roof Cons Layers
Line   110:  Layers:  EL1 Ceilg Cons Layers
Line   114:  Layers:  EL1 IWall Cons Layers
Line   118:  Layers:  EL1 IFlr Cons Layers
Line   122:  Layers:  EL1 IFSHL Cons Layers
Line   125:  Layers:  EL1 UFLyrs (G.N1.U2)
Line   129:  Layers:  EL1 UFLyrs (G.SW2.U3)
Line   133:  Layers:  EL1 UFLyrs (G.N3.U4)
Line   137:  Layers:  EL1 UFLyrs (G.SE4.U5)
Line   142:  Construction:  EL1 EWall Construction
Line   148:  Construction:  EL1 Roof Construction
Line   154:  Construction:  EL1 Ceilg Construction
Line   158:  Construction:  EL1 IWall Construction
Line   162:  Construction:  EL1 IFlr Construction
Line   166:  Construction:  EL1 IFSHL Construction
Line   170:  Construction:  EL1 IFlSP Construction
Line   174:  Construction:  EL1 UFCons (G.N1.U2)
Line   178:  Construction:  EL1 UFCons (G.SW2.U3)
Line   182:  Construction:  EL1 UFCons (G.N3.U4)
Line   186:  Construction:  EL1 UFCons (G.SE4.U5)
Line   202:  Glass Type:  EL1 Window Type #1 GT
Line   208:  Glass Type:  EL1 Window Type #2 GT
Line   234:  Day Schedule:  EL1 Bldg Occup Mon
Line   239:  Day Schedule:  EL1 Bldg Occup Fri
Line   244:  Day Schedule:  EL1 Bldg InsLt Mon
Line   249:  Day Schedule:  EL1 Bldg InsLt Fri
Line   253:  Day Schedule:  EL1 Bldg InsLt Sun
Line   257:  Day Schedule:  EL1 Bldg InsLt HDD
Line   261:  Day Schedule:  EL1 Bldg OffEq Mon
Line   266:  Day Schedule:  EL1 Bldg OffEq Fri
Line   270:  Day Schedule:  EL1 Bldg OffEq Sun
Line   274:  Day Schedule:  EL1 Bldg OffEq HDD
Line   278:  Day Schedule:  EL1 Bldg TskLt Mon
Line   284:  Day Schedule:  EL1 Bldg TskLt Fri
Line   288:  Day Schedule:  EL1 Bldg TskLt Sun
Line   292:  Day Schedule:  EL1 Bldg TskLt HDD
Line   296:  Day Schedule:  EL1 WinShade Day 1
Line   301:  Day Schedule:  EL1 WinShade Day 2
Line   305:  Day Schedule:  EL1 WinShade Day 3
Line   309:  Day Schedule:  EL1 WinShade Day 4
Line   314:  Day Schedule:  DHW Eqp NRes Mon
Line   319:  Day Schedule:  DHW Eqp NRes Fri
Line   323:  Day Schedule:  DHW Eqp NRes Sun
Line   327:  Day Schedule:  DHW Eqp NRes HDD
Line   331:  Day Schedule:  ZG1-S1 (PSZ) P-Inf Mon
Line   337:  Day Schedule:  ZG1-S1 (PSZ) P-Inf Wed
Line   342:  Day Schedule:  ZG1-S1 (PSZ) P-Inf Fri
Line   346:  Day Schedule:  ZG1-S1 (PSZ) P-Inf Sun
Line   351:  Day Schedule:  ZG1-S1 (PSZ) P-Inf HDD
Line   355:  Day Schedule:  ZG1-S1 (PSZ) C-Inf Mon
Line   359:  Day Schedule:  ZG1-S1 (PSZ) C-Inf Wed
Line   364:  Day Schedule:  ZG1-S1 (PSZ) C-Inf Fri
Line   368:  Day Schedule:  S1 Sys1 (PSZ) Fan Mon
Line   372:  Day Schedule:  S1 Sys1 (PSZ) Fan Wed
Line   377:  Day Schedule:  S1 Sys1 (PSZ) Fan Fri
Line   381:  Day Schedule:  S1 Sys1 (PSZ) Cool Mon
Line   386:  Day Schedule:  S1 Sys1 (PSZ) Cool Fri
Line   390:  Day Schedule:  S1 Sys1 (PSZ) Heat Mon
Line   395:  Day Schedule:  S1 Sys1 (PSZ) Heat Fri
Line   399:  Day Schedule:  Day Schedule 40
Line   404:  Day Schedule:  SUN-Z1
Line   409:  Day Schedule:  MON-K1
Line   414:  Day Schedule:  FRI-K1
Line   419:  Day Schedule:  SAT-K1
Line   424:  Day Schedule:  THUR-K1
Line   430:  Day Schedule:  TUES-K1
Line   435:  Day Schedule:  WED-K1
Line   441:  Day Schedule:  sun-z2
Line   446:  Day Schedule:  mon-z2
Line   451:  Day Schedule:  tues-z2
Line   456:  Day Schedule:  wed-z2
Line   461:  Day Schedule:  thurs-z2
Line   466:  Day Schedule:  fri-z2
Line   472:  Day Schedule:  sat-z2
Line   477:  Day Schedule:  sun-z3
Line   482:  Day Schedule:  mon-z3
Line   487:  Day Schedule:  tues-z3
Line   492:  Day Schedule:  wed-z3
Line   497:  Day Schedule:  thurs-z3
Line   502:  Day Schedule:  fri-z3
Line   507:  Day Schedule:  sat-z3
Line   517:  Week Schedule:  EL1 Bldg Occup Wk
Line   523:  Week Schedule:  EL1 Bldg InsLt Wk
Line   528:  Week Schedule:  EL1 Bldg OffEq Wk
